Umur,qxmale,qxfemale
0,0.00802,0.0037
1,0.00079,0.00056
2,0.00063,0.00042
3,0.00051,0.00033
4,0.00043,0.00028
5,0.00038,0.00027
6,0.00034,0.0003
7,0.00031,0.00031
8,0.00029,0.0003
9,0.00028,0.00028
10,0.00027,0.00025
11,0.00027,0.00024
12,0.00026,0.00026
13,0.00026,0.00028
14,0.00027,0.00029
15,0.00029,0.00028
16,0.0003,0.00025
17,0.00032,0.00024
18,0.00036,0.00023
19,0.00041,0.00024
20,0.00049,0.00026
21,0.00059,0.00029
22,0.00069,0.00033
23,0.00077,0.00037
24,0.00083,0.00039
25,0.00085,0.00042
26,0.00083,0.00044
27,0.00079,0.00046
28,0.00075,0.00048
29,0.00074,0.00051
30,0.00076,0.00054
31,0.0008,0.00057
32,0.00083,0.0006
33,0.00084,0.00062
34,0.00086,0.00064
35,0.00091,0.00067
36,0.00099,0.00074
37,0.00109,0.00084
38,0.0012,0.00093
39,0.00135,0.00104
40,0.00153,0.00114
41,0.00175,0.00126
42,0.00196,0.00141
43,0.00219,0.00158
44,0.00246,0.00175
45,0.00279,0.00193
46,0.00318,0.00214
47,0.00363,0.00239
48,0.00414,0.00268
49,0.00471,0.00299
50,0.00538,0.00334
51,0.00615,0.00374
52,0.00699,0.00422
53,0.00784,0.00479
54,0.00872,0.00542
55,0.00961,0.00607
56,0.01051,0.00669
57,0.01142,0.00725
58,0.01232,0.00776
59,0.01322,0.00826
60,0.01417,0.00877
61,0.01521,0.00936
62,0.01639,0.01004
63,0.01773,0.01104
64,0.01926,0.01214
65,0.021,0.01334
66,0.02288,0.01466
67,0.02486,0.01612
68,0.02702,0.01771
69,0.02921,0.01947
70,0.03182,0.02121
71,0.03473,0.02319
72,0.03861,0.02539
73,0.04264,0.02778
74,0.04687,0.03042
75,0.05155,0.0333
76,0.05664,0.03646
77,0.06254,0.03991
78,0.06942,0.04372
79,0.07734,0.04789
80,0.08597,0.05247
81,0.09577,0.05877
82,0.10593,0.06579
83,0.11683,0.07284
84,0.12888,0.08061
85,0.14241,0.08925
86,0.15738,0.09713
87,0.17368,0.10893
88,0.1911,0.12131
89,0.20945,0.1345
90,0.22853,0.14645
91,0.24638,0.15243
92,0.26496,0.16454
93,0.2845,0.18235
94,0.30511,0.20488
95,0.32682,0.23305
96,0.34662,0.25962
97,0.3677,0.2872
98,0.39016,0.29173
99,0.41413,0.30759
100,0.43974,0.33241
101,0.45994,0.35918
102,0.48143,0.38871
103,0.50431,0.42124
104,0.52864,0.45705
105,0.5545,0.4958
106,0.58198,0.53553
107,0.61119,0.57626
108,0.64222,0.61725
109,0.67518,0.65996
110,0.71016,0.70366
111,1,1
